label,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,42,0.646,0.446,4,-7.297,0,0.0516,0.00223,0.00102,0.147,0.528,130.165,239253
0,65,0.572,0.778,1,-5.208,1,0.233,0.00638,0.0,0.0563,0.54,168.073,225520
0,57,0.739,0.689,4,-3.726,0,0.0468,0.00563,5.39e-06,0.102,0.897,102.018,234356
0,26,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897
0,53,0.743,0.564,5,-8.761,1,0.045,0.299,0.000693,0.109,0.505,120.012,198000
0,44,0.675,0.745,11,-8.634,0,0.0344,0.187,0.00894,0.115,0.569,120.97,211393
0,10,0.599,0.719,0,-12.57,1,0.0288,0.281,0.0514,0.693,0.785,106.08,288000
0,67,0.708,0.701,0,-5.196,1,0.0328,0.031,0.0,0.392,0.504,120.932,222097
0,51,0.401,0.877,10,-3.303,1,0.0694,0.065,0.0463,0.321,0.343,148.009,214071
0,56,0.716,0.275,0,-10.013,0,0.0547,0.754,1.85e-05,0.147,0.352,63.513,298907
0,65,0.656,0.729,5,-4.223,0,0.0765,0.0789,0.0,0.133,0.438,95.974,215781
0,48,0.309,0.869,2,-3.298,1,0.0771,0.0136,0.0,0.0454,0.454,111.614,257076
0,19,0.384,0.846,7,-5.591,1,0.0365,0.151,7.73e-05,0.0913,0.272,90.172,275693
0,63,0.591,0.743,0,-4.245,0,0.0456,0.0435,0.000731,0.362,0.251,160.019,207920
0,72,0.571,0.873,0,-3.382,0,0.0997,0.0807,0.0,0.361,0.613,139.691,229467
0,44,0.351,0.626,7,-5.314,1,0.0358,0.0867,0.0,0.0937,0.394,129.568,178333
0,75,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,233867
